framboise 2 fluo 488 at 50%
Integration time [ms]: 100,000
Averaging Nr. [scans]: 5
Smoothing Nr. [pixels]: 2
Data measured with spectrometer [name]: 1004063U1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 250,00;  -38,077;    1,155;  -14,815;-39,23260
 251,00;  -21,931;   -5,473;   -9,452;-16,45772
 252,00;   -9,196;   -5,700;   -1,523;-3,49538
 253,00;   -0,867;  -11,454;   -3,808;10,58759
 254,00;  -19,343;   -8,924;  -13,400;-10,41832
 255,00;   -9,646;   -0,310;  -20,827;-9,33619
 256,00;  -12,140;    3,751;  -26,237;-15,89059
 257,00;    9,951;    3,313;  -19,293; 6,63767
 258,00;  -15,024;   -6,903;  -19,170;-8,12165
 259,00;    0,780;   -7,558;  -10,187; 8,33730
 260,00;   10,799;   -7,865;  -11,272;18,66384
 261,00;   17,437;   -5,514;  -10,385;22,95081
 262,00;    8,408;  -10,181;  -14,824;18,58911
 263,00;    2,129;  -11,087;  -19,322;13,21599
 264,00;   18,077;  -12,614;  -13,619;30,69034
 265,00;    6,245;   -8,991;  -17,132;15,23580
 266,00;   -7,447;   -2,911;  -17,873;-4,53557
 267,00;  -15,552;    3,115;  -12,222;-18,66697
 268,00;    3,179;    8,112;   -2,189;-4,93324
 269,00;   15,547;    1,600;    2,279;13,94637
 270,00;   23,935;   -5,748;   -8,267;29,68306
 271,00;    9,727;   -9,632;   -3,739;19,35880
 272,00;   -7,877;   -8,729;   -6,968; 0,85168
 273,00;  -28,748;   -5,842;   -9,497;-22,90646
 274,00;  -38,902;  -10,339;  -19,390;-28,56246
 275,00;  -49,660;  -11,921;  -21,042;-37,73953
 276,00;  -48,410;   -9,941;  -22,188;-38,46933
 277,00;  -44,829;   -4,913;  -23,450;-39,91620
 278,00;   -5,412;   -0,596;  -14,302;-4,81616
 279,00;    5,149;   -2,004;   -6,572; 7,15374
 280,00;   61,304;   -3,104;    4,948;64,40772
 281,00;   37,421;   -4,370;    2,895;41,79078
 282,00;   31,491;   -5,328;   -0,355;36,81885
 283,00;    1,364;   -8,331;   -4,461; 9,69556
 284,00;    4,939;   -6,944;   -8,748;11,88262
 285,00;   -6,838;   -6,270;   -5,989;-0,56841
