wavelength,mLemon (basic) ab,mLemon (basic) ex,mLemon (basic) em
350,0.0402,0.0067,
351,0.0383,0.0064,
352,0.0345,0.0061,
353,0.0353,0.0061,
354,0.0368,0.0059,
355,0.0336,0.0058,
356,0.036,0.0056,
357,0.0358,0.0054,
358,0.0333,0.0051,
359,0.0353,0.0051,
360,0.0344,0.0049,
361,0.0297,0.0046,
362,0.028,0.0046,
363,0.0268,0.0044,
364,0.027,0.0043,
365,0.0263,0.0041,
366,0.0256,0.004,
367,0.0236,0.0039,
368,0.0241,0.0037,
369,0.0234,0.0036,
370,0.025,0.0033,
371,0.0244,0.0034,
372,0.0214,0.0029,
373,0.019,0.0029,
374,0.0217,0.0029,
375,0.0214,0.0027,
376,0.018,0.0024,
377,0.021,0.0023,
378,0.018,0.002,
379,0.0209,0.0021,
380,0.0173,0.002,
381,0.0202,0.0019,
382,0.0206,0.0019,
383,0.0189,0.0018,
384,0.0183,0.0018,
385,0.0172,0.0017,
386,0.0178,0.0015,
387,0.0204,0.0016,
388,0.0178,0.0015,
389,0.0199,0.0015,
390,0.0175,0.0015,
391,0.0175,0.0014,
392,0.0178,0.0014,
393,0.017,0.0014,
394,0.0183,0.0015,
395,0.018,0.0014,
396,0.0223,0.0017,
397,0.0134,0.0017,
398,0.0141,0.0018,
399,0.0149,0.0016,
400,0.0165,0.0019,
401,0.0172,0.0021,
402,0.0166,0.0021,
403,0.0154,0.0021,
404,0.0192,0.0024,
405,0.0189,0.0024,
406,0.0178,0.0026,
407,0.018,0.0029,
408,0.019,0.003,
409,0.0171,0.0033,
410,0.017,0.0033,
411,0.018,0.0038,
412,0.0207,0.004,
413,0.018,0.0043,
414,0.0169,0.0045,
415,0.0171,0.0052,
416,0.0204,0.0053,
417,0.0187,0.0056,
418,0.0198,0.0059,
419,0.0204,0.0066,
420,0.0227,0.0068,
421,0.0212,0.0073,
422,0.023,0.0077,
423,0.0219,0.0082,
424,0.0214,0.0087,
425,0.0261,0.0095,
426,0.0231,0.0101,
427,0.0259,0.0108,
428,0.0241,0.0114,
429,0.0241,0.0124,
430,0.0239,0.0135,
431,0.0261,0.0144,
432,0.027,0.0158,
433,0.0268,0.0165,
434,0.0285,0.0179,
435,0.0311,0.0195,
436,0.03,0.021,
437,0.0324,0.0228,
438,0.036,0.0253,
439,0.0361,0.0271,
440,0.0358,0.0283,
441,0.0378,0.0314,
442,0.0427,0.0334,
443,0.0436,0.0367,
444,0.0468,0.039,
445,0.0479,0.0423,
446,0.0524,0.0448,
447,0.0577,0.0479,
448,0.0594,0.051,
449,0.0633,0.0551,
450,0.0643,0.0591,
451,0.0673,0.0631,
452,0.0741,0.0668,
453,0.0739,0.0708,
454,0.0814,0.0763,
455,0.0816,0.0809,
456,0.0855,0.0855,
457,0.0906,0.0894,
458,0.0972,0.0928,
459,0.1011,0.0952,
460,0.1006,0.1,
461,0.1087,0.1051,
462,0.1096,0.1102,
463,0.1136,0.1168,
464,0.1206,0.1235,
465,0.1301,0.1309,
466,0.1392,0.1379,
467,0.1485,0.1449,
468,0.156,0.1528,
469,0.1643,0.162,
470,0.1738,0.1742,
471,0.1885,0.1843,
472,0.2014,0.1964,
473,0.2158,0.2095,
474,0.2286,0.2222,
