wavelength,LSSmOrange ex,LSSmOrange em,LSSmOrange 2p
332,0.0194,,
333,0.0222,,
334,0.025,,
335,0.0278,,
336,0.0306,,
337,0.0334,,
338,0.0361,,
339,0.0389,,
340,0.0416,,
341,0.0443,,
342,0.0472,,
343,0.0506,,
344,0.0547,,
345,0.0595,,
346,0.0648,,
347,0.0701,,
348,0.0751,,
349,0.0796,,
350,0.0838,,
351,0.0879,,
352,0.0922,,
353,0.0968,,
354,0.1016,,
355,0.1066,,
356,0.112,,
357,0.1176,,
358,0.1234,,
359,0.1291,,
360,0.1353,,
361,0.1423,,
362,0.1502,,
363,0.159,,
364,0.1687,,
365,0.179,,
366,0.1896,,
367,0.1998,,
368,0.21,,
369,0.2201,,
370,0.2299,,
371,0.2393,,
372,0.2488,,
373,0.2585,,
374,0.2688,,
375,0.2799,,
376,0.2917,,
377,0.304,,
378,0.3164,,
379,0.3287,,
380,0.341,,
381,0.3535,,
382,0.3665,,
383,0.3803,,
384,0.3942,,
385,0.4077,,
386,0.4205,,
387,0.4329,,
388,0.4455,,
389,0.4587,,
390,0.4728,,
391,0.4876,,
392,0.5029,,
393,0.5183,,
394,0.5336,,
395,0.5489,,
396,0.5638,,
397,0.5783,,
398,0.5926,,
399,0.607,,
400,0.6218,,
401,0.6368,,
402,0.6519,,
403,0.6672,,
404,0.6824,,
405,0.6979,,
406,0.7137,,
407,0.7298,,
408,0.7458,,
409,0.7618,,
410,0.7773,,
411,0.7921,,
412,0.8063,,
413,0.8193,,
414,0.8311,,
415,0.8419,,
416,0.852,,
417,0.862,,
418,0.8718,,
419,0.8815,,
420,0.8911,,
421,0.9004,,
422,0.9093,,
423,0.9179,,
424,0.9264,,
425,0.9348,,
426,0.9433,,
427,0.952,,
428,0.9604,,
429,0.9684,,
430,0.9761,,
431,0.9829,,
432,0.9885,,
433,0.9926,,
434,0.9955,,
435,0.9978,,
436,0.9994,,
437,1.0,,
438,0.9999,,
439,0.9984,,
440,0.9951,,
441,0.9902,,
442,0.9841,,
443,0.9774,,
444,0.9702,,
445,0.9621,,
446,0.9534,,
447,0.9443,,
448,0.9348,,
449,0.9255,,
450,0.9162,,
451,0.9062,,
452,0.8956,,
453,0.8841,,
454,0.872,,
455,0.8593,,
456,0.8468,,
457,0.8356,,
458,0.8251,,
459,0.8128,,
460,0.7981,,
461,0.7813,,
462,0.7623,,
463,0.7416,,
464,0.7213,,
465,0.7017,,
466,0.6794,,
467,0.6546,,
468,0.6268,,
469,0.5962,,
470,0.5645,0.0184,
471,0.531,0.0184,
472,0.4997,0.0184,
473,0.4692,0.0184,
474,0.438,0.0184,
475,0.4086,0.0184,
476,0.3803,0.0184,
477,0.3528,0.0184,
478,0.3278,0.0184,
479,0.3029,0.0184,
480,0.2792,0.0184,
481,0.2561,0.0184,
482,0.2344,0.0184,
483,0.2146,0.0184,
484,0.1964,0.0184,
485,0.1789,0.0184,
486,0.163,0.0184,
487,0.1477,0.0184,
488,0.1327,0.0184,
489,0.1188,0.0184,
490,0.107,0.0184,
491,0.0971,0.0184,
492,0.0885,0.0184,
493,0.0806,0.0183,
494,0.0735,0.0184,
495,0.0672,0.0185,
496,0.0618,0.0187,
497,0.0568,0.0189,
498,0.0525,0.0192,
499,0.0488,0.0195,
500,0.0455,0.0198,
501,0.0424,0.0201,
502,0.0394,0.0203,
503,0.0363,0.0206,
504,0.0335,0.0209,
505,0.031,0.0212,
506,0.0288,0.0215,
507,0.0268,0.0218,
508,0.0251,0.022,
509,0.0238,0.0223,
510,,0.0226,
511,,0.0229,
512,,0.0232,
513,,0.0235,
514,,0.0238,
515,,0.0241,
516,,0.0243,
517,,0.0246,
518,,0.0249,
519,,0.0253,
520,,0.0258,
521,,0.0264,
522,,0.027,
523,,0.0277,
524,,0.0285,
525,,0.0292,
526,,0.0298,
527,,0.0304,
528,,0.031,
529,,0.0319,
530,,0.0334,
531,,0.0355,
532,,0.0381,
533,,0.0412,
534,,0.0444,
535,,0.0473,
536,,0.0505,
537,,0.0543,
538,,0.0589,
539,,0.0651,
540,,0.0736,
541,,0.0841,
542,,0.0953,
543,,0.1069,
544,,0.1212,
545,,0.1363,
546,,0.1538,
547,,0.1764,
548,,0.2033,
549,,0.2296,
550,,0.2587,
551,,0.2899,
552,,0.3262,
553,,0.3625,
554,,0.4033,
555,,0.4479,
556,,0.491,
557,,0.5325,
558,,0.5755,
559,,0.6195,
560,,0.6663,
561,,0.7099,
562,,0.7537,
563,,0.7955,
564,,0.8323,
565,,0.8669,
566,,0.8968,
567,,0.9235,
568,,0.9478,
569,,0.9662,
570,,0.9814,
571,,0.9927,
572,,0.9986,
573,,1.0,
574,,0.9977,
575,,0.9922,
576,,0.9841,
577,,0.9723,
578,,0.9585,
579,,0.9408,
580,,0.9197,
581,,0.8976,
582,,0.875,
583,,0.8523,
584,,0.8288,
585,,0.8049,
586,,0.7816,
587,,0.7582,
588,,0.7359,
589,,0.7156,
590,,0.6962,
591,,0.6783,
592,,0.6615,
593,,0.6461,
594,,0.632,
595,,0.6187,
596,,0.6057,
597,,0.5931,
598,,0.581,
599,,0.57,
600,,0.56,
601,,0.551,
602,,0.5428,
603,,0.535,
604,,0.527,
605,,0.5193,
606,,0.5122,
607,,0.5055,
608,,0.4989,
609,,0.4923,
610,,0.4857,
611,,0.4788,
612,,0.4717,
613,,0.4644,
614,,0.4573,
615,,0.4496,
616,,0.4411,
617,,0.4322,
618,,0.423,
619,,0.4137,
620,,0.4047,
621,,0.3963,
622,,0.389,
623,,0.3816,
624,,0.3743,
625,,0.3667,
626,,0.3585,
627,,0.3497,
628,,0.3405,
629,,0.3313,
630,,0.3225,
631,,0.3141,
632,,0.3063,
633,,0.2986,
634,,0.2907,
635,,0.2825,
636,,0.2739,
637,,0.2651,
638,,0.2565,
639,,0.2482,
640,,0.2407,
641,,0.2337,
642,,0.2271,
643,,0.2207,
644,,0.2143,
645,,0.2079,
646,,0.2013,
647,,0.1948,
648,,0.1886,
649,,0.1825,
650,,0.177,
651,,0.1719,
652,,0.1674,
653,,0.1632,
654,,0.1592,
655,,0.1555,
656,,0.1521,
657,,0.1488,
658,,0.1457,
659,,0.1428,
660,,0.14,
661,,0.1371,
662,,0.1343,
663,,0.1314,
664,,0.1287,
665,,0.1259,
666,,0.1232,
667,,0.1206,
668,,0.118,
669,,0.1155,
670,,0.1131,
671,,0.1107,
672,,0.1085,
673,,0.1063,
674,,0.1043,
675,,0.1024,
676,,0.1006,
677,,0.0989,
678,,0.0974,
679,,0.0958,
680,,0.0942,
681,,0.0927,
682,,0.0911,
683,,0.0896,
684,,0.0881,
685,,0.0865,
686,,0.085,
687,,0.0835,
688,,0.082,
689,,0.0805,
690,,0.0792,
691,,0.0778,
692,,0.0766,
693,,0.0753,
694,,0.0741,
695,,0.0729,
696,,0.0717,
697,,0.0705,
698,,0.0695,
699,,0.0685,
700,,0.0676,
701,,0.0668,
702,,0.066,
703,,0.0652,
704,,0.0643,
705,,0.0635,
706,,0.0626,
707,,0.0618,
708,,0.061,
709,,0.0603,
710,,0.0596,
711,,0.0589,
712,,0.0583,
713,,0.0577,
714,,0.0571,
715,,0.0566,
716,,0.0561,
717,,0.0555,
718,,0.0549,
719,,0.0543,
720,,0.0538,
721,,0.0533,
722,,0.053,
723,,0.0528,
724,,0.0527,
725,,0.0526,
726,,0.0524,
727,,0.0522,
728,,0.0519,
729,,0.0515,
730,,0.0512,
731,,0.0508,
732,,0.0504,
733,,0.05,
734,,0.0496,
735,,0.0493,
736,,0.0492,
737,,0.0491,
738,,0.0491,
739,,0.0491,
740,,0.0491,
741,,0.049,
742,,0.0489,
743,,0.0487,
744,,0.0485,
745,,0.0484,
746,,0.0484,
747,,0.0485,
748,,0.0486,
749,,0.0487,
750,,,
751,,,
752,,,
753,,,
754,,,
755,,,
756,,,
757,,,
758,,,
759,,,
760,,,0.1582
761,,,0.1649
762,,,0.1717
763,,,0.1785
764,,,0.1852
765,,,0.192
766,,,0.1988
767,,,0.2055
768,,,0.2123
769,,,0.219
770,,,0.2258
771,,,0.2282
772,,,0.2306
773,,,0.233
774,,,0.2354
775,,,0.2378
776,,,0.2402
777,,,0.2426
778,,,0.245
779,,,0.2473
780,,,0.2497
781,,,0.2559
782,,,0.262
783,,,0.2682
784,,,0.2743
785,,,0.2804
786,,,0.2866
787,,,0.2927
788,,,0.2989
789,,,0.305
790,,,0.3111
791,,,0.3143
792,,,0.3174
793,,,0.3205
794,,,0.3236
795,,,0.3267
796,,,0.3299
797,,,0.333
798,,,0.3361
799,,,0.3392
800,,,0.3424
801,,,0.3466
802,,,0.3509
803,,,0.3552
804,,,0.3594
805,,,0.3637
806,,,0.368
807,,,0.3722
808,,,0.3765
809,,,0.3807
810,,,0.385
811,,,0.3915
812,,,0.3979
813,,,0.4044
814,,,0.4108
815,,,0.4173
816,,,0.4237
817,,,0.4302
818,,,0.4366
819,,,0.4431
820,,,0.4495
821,,,0.4576
822,,,0.4658
823,,,0.4739
824,,,0.482
825,,,0.4901
826,,,0.4982
827,,,0.5063
828,,,0.5145
829,,,0.5226
830,,,0.5307
831,,,0.5428
832,,,0.5548
833,,,0.5669
834,,,0.579
835,,,0.5911
836,,,0.6031
837,,,0.6152
838,,,0.6273
839,,,0.6393
840,,,0.6514
841,,,0.6647
842,,,0.678
843,,,0.6914
844,,,0.7047
845,,,0.718
846,,,0.7313
847,,,0.7446
848,,,0.758
849,,,0.7713
850,,,0.7846
851,,,0.7976
852,,,0.8106
853,,,0.8236
854,,,0.8366
855,,,0.8496
856,,,0.8626
857,,,0.8757
858,,,0.8887
859,,,0.9017
860,,,0.9147
861,,,0.9197
862,,,0.9247
863,,,0.9297
864,,,0.9347
865,,,0.9396
866,,,0.9446
867,,,0.9496
868,,,0.9546
869,,,0.9596
870,,,0.9646
871,,,0.9682
872,,,0.9717
873,,,0.9752
874,,,0.9788
875,,,0.9823
876,,,0.9858
877,,,0.9894
878,,,0.9929
879,,,0.9965
880,,,1.0
881,,,0.9945
882,,,0.989
883,,,0.9835
884,,,0.9779
885,,,0.9724
886,,,0.9669
887,,,0.9614
888,,,0.9559
889,,,0.9504
890,,,0.9448
891,,,0.9372
892,,,0.9295
893,,,0.9218
894,,,0.9141
895,,,0.9065
896,,,0.8988
897,,,0.8911
898,,,0.8834
899,,,0.8757
900,,,0.8681
901,,,0.8604
902,,,0.8527
903,,,0.845
904,,,0.8373
905,,,0.8297
906,,,0.822
907,,,0.8143
908,,,0.8066
909,,,0.7989
910,,,0.7913
911,,,0.7836
912,,,0.7759
913,,,0.7682
914,,,0.7605
915,,,0.7529
916,,,0.7452
917,,,0.7375
918,,,0.7298
919,,,0.7221
920,,,0.7145
921,,,0.7068
922,,,0.6991
923,,,0.6914
924,,,0.6837
925,,,0.6761
926,,,0.6684
927,,,0.6607
928,,,0.653
929,,,0.6453
930,,,0.6377
931,,,0.63
932,,,0.6223
933,,,0.6146
934,,,0.607
935,,,0.5993
936,,,0.5916
937,,,0.5839
938,,,0.5762
939,,,0.5686
940,,,0.5609
941,,,0.5338
942,,,0.5068
943,,,0.4797
944,,,0.4527
945,,,0.4256
946,,,0.3985
947,,,0.3715
948,,,0.3444
949,,,0.3174
950,,,0.2903
951,,,0.2901
952,,,0.2899
953,,,0.2897
954,,,0.2895
955,,,0.2893
956,,,0.2891
957,,,0.2889
958,,,0.2887
959,,,0.2884
960,,,0.2882
961,,,0.2771
962,,,0.266
963,,,0.2548
964,,,0.2437
965,,,0.2326
966,,,0.2214
967,,,0.2103
968,,,0.1992
969,,,0.188
970,,,0.1769
971,,,0.1689
972,,,0.1609
973,,,0.1529
974,,,0.1448
975,,,0.1368
976,,,0.1288
977,,,0.1208
978,,,0.1128
979,,,0.1048
980,,,0.0968
981,,,0.0939
982,,,0.0909
983,,,0.088
984,,,0.0851
985,,,0.0822
986,,,0.0793
987,,,0.0764
988,,,0.0735
989,,,0.0706
990,,,0.0676
991,,,0.0646
992,,,0.0616
993,,,0.0586
994,,,0.0556
995,,,0.0525
996,,,0.0495
997,,,0.0465
998,,,0.0435
999,,,0.0405
1000,,,0.0375
1001,,,0.0369
1002,,,0.0364
1003,,,0.0359
1004,,,0.0354
1005,,,0.0349
1006,,,0.0343
1007,,,0.0338
1008,,,0.0333
1009,,,0.0328
1010,,,0.0323
1011,,,0.0307
1012,,,0.0291
1013,,,0.0276
1014,,,0.026
1015,,,0.0245
1016,,,0.0229
1017,,,0.0213
1018,,,0.0198
1019,,,0.0182
1020,,,0.0166
1021,,,0.0154
